,Business Description
223,ACCOUNTING & TAX PREP
224,ACCOUNTING & TAX PREPARATION
225,ACCOUNTING & TAX PREPARATIONS
226,ACCOUNTING & TAX SERVICE
227,ACCOUNTING & TAX SERVICES
228,Accounting & Tax Services
229,ACCOUNTING AND BOOK KEEPING
230,ACCOUNTING AND BOOKEEPING
231,ACCOUNTING AND BOOKKEEPING SERVICES
232,ACCOUNTING AND TAX SERVICES
233,ACCOUNTING CONSULTANT
234,ACCOUNTING CORPORATION
235,ACCOUNTING FIRM
236,ACCOUNTING FOR DELIVERY COMPANY
237,ACCOUNTING OFFICE
238,Accounting payroll tax prep
239,ACCOUNTING PRACTICE
240,ACCOUNTING SERV & TAX PREP
241,ACCOUNTING SERVICE
242,ACCOUNTING SERVICES
243,ACCOUNTING SERVICES & CONSULTING/ NON LICENSED
244,ACCOUNTING SERVICES CONSULTING
245,ACCOUNTING SERVICES/CONSULT
246,ACCOUNTING SOFTWARE
247,ACCOUNTING SUPPORT & TAX PREP
248,ACCOUNTING SUPPORT SERVICES
249,ACCOUNTING TAX PREP
250,ACCOUNTING TAX REP
251,ACCOUNTING-BOOK KEEPING
252,"ACCOUNTING, BOOKKEEPING & TAXES"
253,"ACCOUNTING, BOOKKEEPING, INCOME TAX, NOTARY"
254,"ACCOUNTING, PAYROLL, & TAX"
255,"ACCOUNTING, TAX AND ADVISORY SERVICES FIRM"
256,"ACCOUNTING, TAX, & FINANCIAL"
257,"ACCOUNTING, TAX, CONSULTING"
258,"ACCOUNTING, TAX, PAYROLL & NOTARY"
259,"ACCOUNTING,TAX PAYROLL SERV."
260,ACCOUNTING/BOOKKEEPING
261,ACCOUNTING/BUSINESS CONSULTING
262,ACCOUNTING/CONSULT/BUS.SERVICE
263,ACCOUNTING/CPA
264,ACCOUNTING/PAYROLL
265,ACCOUNTING/REAL ESTATE SERVICE
266,ACCOUNTING/TAX SERVICES
267,Accounting/Tax Services
268,ACCOUNTING/TAX SERVICES (CPA)
269,ACCOUNTING& FINANCIAL MANAGEME
270,ACCOUNTS RECEIVABLE MANAGEMENT
271,ACCOUSTICAL CONSULTING
272,ACCREDTN/CONSULTING MED SPAS
273,"ACCTG, BOOKEEPING, TAX, NOTARY"
274,"ACCTG,TAX,SECT SVC,TRAVEL,TOUR"
275,ACCUPRESSURE
276,ACCUPUNCTURE
277,ACCUPUNCTURE CLINIC
278,ACCUPUNTURE
279,ACID STAINING/REPAIR CONCRETE
280,ACMT
281,ACOUNTING & TAX SERVICES
282,ACOUNTING/TAXES
283,ACOUSTIC CEILING
284,ACOUSTIC CONTRACTOR
285,ACOUSTICAL CEILIING SUBCONTRACTOR
286,ACOUSTICAL CEILING CONTRACTOR
287,ACOUSTICAL CEILING INSTALL
288,ACOUSTICAL CEILING INSTALLING
289,ACOUSTICAL CEILING SUBCONTRACTOR
290,ACOUSTICAL CEILINGS
291,ACOUSTICAL CEILINGS SUBCONTRAT
292,Acoustical Consultants
293,ACOUSTICAL CONSULTING
294,ACOUSTICAL CONTRACTOR
295,ACOUSTICAL SUSPENDED CEILING
296,ACPUNCTURE & CHINESE MEDICINE
297,"ACQI BOWLS, SMOOTHIES, HEALTHY FOOD OPTIONS"
298,ACQUIRING & HOLDING REAL ESTAT
299,ACRYLIC EXTRUSION MFG.
300,ACRYLIC FABRICATION
301,ACT AS AGENT FOR HOMECARE SERVICE FOR THE ELDERLY
302,ACTING CLASSES
303,ACTING SCHOOL
304,ACTING/MODELING SCHOOL
305,ACTIVATION/CELL PHONE RESALE
306,ACTIVE WEAR SALES
307,ACTIVIST TRAINING & CULTURAL
308,ACTIVITIES/RECREATION
309,ACTIVITY / ART BASED WELLNESS ORIENTED SERVICES
310,ACTRESS
311,ACTUARIAL CONSULTANTS
312,ACTUARIAL/INSURANCE CONSULTANT
313,ACUPNCTURE
314,ACUPRESSURE
315,ACUPRESSURE & MASSAGE
316,ACUPRESSURE MASSAGE
317,ACUPRESSURE/BREATHWORK/MASSAGE
318,ACUPRESSURE/LIFESTYLE COUNSEL
319,ACUPRESSURE/REFLEXOLOGY
320,ACUPUCTURE
321,ACUPUNCTURE
322,Acupuncture
323,ACUPUNCTURE & CHINESE HERBS
324,ACUPUNCTURE & HERB
325,ACUPUNCTURE & HERBAL
326,ACUPUNCTURE & HERBAL MEDECINE
327,ACUPUNCTURE & HERBAL MEDICINE
328,ACUPUNCTURE & HERBAL SUPPLIES
329,ACUPUNCTURE & INTEGRATIVE MEDICINE
330,ACUPUNCTURE AND HERBAL CLINIC
331,ACUPUNCTURE AND HERBS
332,ACUPUNCTURE AND MASSAGE
333,ACUPUNCTURE CLINIC
334,ACUPUNCTURE OFFICE
335,ACUPUNCTURE OUT CALLS ONLY
336,ACUPUNCTURE PRACTICE
337,ACUPUNCTURE SERVICES USING HERBS
338,"Acupuncture services, herbal medicine and supplement sales"
339,Acupuncture tools and supply & Herbal and online products
340,ACUPUNCTURE TREATMENT
341,"ACUPUNCTURE, HERBAL, TUI-NA"
342,"ACUPUNCTURE, INTEGRATED & FUNCTIONAL MEDICINE"
343,ACUPUNCTURE/ CHINESE HERBS
344,ACUPUNCTURE/CHIROPRACTIC
345,ACUPUNCTURE/MEDICAL CORP.
346,ACUPUNCTURE/TUINA/ACUPRESSURE
347,ACUPUNCTURIST
348,ACUPUNCTURIST & HERBALIST
349,ACUPUNCTURIST CLINIC
350,ACUPUNCTURIST/HERBAL MEDICINE
351,ACUPUNTURE
352,ACUPUNTURE AND HERBALIST
353,ACUSTICAL/AUDIO/VISUAL CONSULT
354,ACUTE NURSING AGENCY
355,AD AGENCY/MARKETING & ADVERTIS
356,AD AND PROMOTION CONSULTATION
357,AD BROKER
358,AD PRGRM IN CONJUNCTION W/13
359,ADA CONSULTING
360,ADA INSTALL AND SERVICE
361,ADA/ACCESS CONSULTING SERVICES
362,ADD-ON HAIR PIECES & ACCESS
363,ADDICTION COUNSELING & RECOVERY SVCS
364,ADDITIONS & FRAMMING & REMODEL
365,ADDRESS SIGNS
366,ADHESIVE MANUFACTURING
367,ADHESIVE/SYNTHTC POLYMER MANFT
368,ADMIN
369,ADMIN ASSIST/ CONSULTANT
370,ADMIN ASST/ COMPUTER GRAPHICS
371,ADMIN BRANCH OFFICE
372,ADMIN BUSINESS SUPPORT
373,ADMIN E-PROJECT SUPPORT SVCS
374,ADMIN FOR OTHER BUSINESSES
375,ADMIN HEADQUARTERS FOR DISTRIB
376,ADMIN HEADQUARTERS/ACCTG
377,ADMIN OFC/ENVIRON REMEDIATION
378,ADMIN OFF/NEWSPAPER REPORTER
379,ADMIN OFFICE
380,ADMIN OFFICE FOR MOBILE HOME
381,ADMIN OFFICE ONLY
382,ADMIN OFFICE ONLY FOR COURIER SERVICE BUSINESS
383,ADMIN OFFICE/ASSEMBL/DISPATCH
384,ADMIN SERVICES
385,Admin services as a contractor.
386,ADMIN SERVICES FOR BUSINESSES
387,ADMIN SERVICES MARKETING EVENT
388,ADMIN SUPPORT OFFICE FOR MFG
389,ADMIN SUPPORT SERVICES
390,ADMIN SUPPORT/ADVERTISING
391,ADMIN SVCS FOR HOME BASED BUS.
392,"ADMIN SVCS, BULK MAIL, CREDIT REPAIR, VAC/MED LEAVE COVERAGE"
393,ADMIN. & REAL ESTATE SERVICES
394,ADMIN. OFFICE FOR SALESPERSON
395,ADMIN. WORK (OFFICE USE ONLY)
396,ADMIN/PLUMBING SUBCONTRACTOR
397,ADMIN/SECRETARIAL SERVICES
398,ADMINISTER EDUCATIONAL/LICENSE
399,ADMINISTRATING REAL ESTATE
400,Administration
401,ADMINISTRATION FOR CLASSES
402,ADMINISTRATION FOR DENTAL OFF
403,ADMINISTRATION FOR ROADSIDE SERVICES
404,ADMINISTRATION OF PREPAID LEGAL SERVICES
405,ADMINISTRATION OFFICE
406,ADMINISTRATION OFFICE IM/EXPT
407,ADMINISTRATION VENDOR/STATE LOTTERY
408,ADMINISTRATION-AUTO INS BRKRGE
409,ADMINISTRATION/INVESTIGATION
410,ADMINISTRATION/RESPITE AGENCY
411,ADMINISTRATIVE
412,Administrative & Consulting services for arts organizations
413,ADMINISTRATIVE & MANAGEMENT- RELATED SERVICES
414,Administrative and survey consulting for Arts Organizations
415,ADMINISTRATIVE AND TRAVEL CONSULTATION
416,ADMINISTRATIVE ASSISTANCE
417,ADMINISTRATIVE ASSISTANT
418,ADMINISTRATIVE ASSISTANT / BOOKKEEPING
419,ADMINISTRATIVE ASSISTANT/ ON CALL
420,ADMINISTRATIVE ASSISTANT/OFFICE SUPPORT REQUEST/ON CALL
421,ADMINISTRATIVE CONSULTING
422,ADMINISTRATIVE FOR CONST. CO
423,ADMINISTRATIVE HEADQUARTERS
424,ADMINISTRATIVE MANAGEMENT
425,ADMINISTRATIVE OFFICE
426,ADMINISTRATIVE OFFICE -CONSULTING
427,ADMINISTRATIVE OFFICE FOR HOSPICE SERVICES
428,ADMINISTRATIVE OFFICE FOR ONLINE SCHOOL
429,ADMINISTRATIVE OFFICE ONLY
430,ADMINISTRATIVE OFFICES
431,ADMINISTRATIVE SERVICES
432,Administrative Services
433,ADMINISTRATIVE SERVICES (OFFICE SUPPORT)
434,ADMINISTRATIVE SERVICES TO DHS INS
435,"ADMINISTRATIVE SERVICES,MEETING PLANNING AND CUSTOM FRAMING"
436,ADMINISTRATIVE SUPPORT
437,ADMINISTRATIVE SUPPORT CENTER
438,ADMINISTRATIVE SUPPORT FOR BUSINESSES
439,ADMINISTRATIVE SUPPORT OFFICE
440,ADMINISTRATIVE SUPPORT SERVICES
441,Administrative Support Services
442,ADMINISTRATIVE- PAPERWORK
443,"ADMINISTRATIVE, TECHNOLOGY & MARKETING SUPPORT"
444,ADMINISTRATIVE/DATA PROCESSING
445,ADMINISTRATIVE/SECRETARIAL
446,ADMINISTRATOR FOR CITY PROGRAM (CONTRACT)
447,ADMINSTRATIVE OFFICES
448,ADMINSTRATIVE SUPPORT SERVICES
449,ADMISTRATIVE SERVICES
450,ADOPTION COUNSELING
451,ADOPTION FACILITATOR
452,ADOPTION SERVICES
453,adoption/foster care agency
454,ADRESSING & MAILING SVC
455,ADULT ACTIVITY CTR FOR HNDYCAP
456,ADULT DANCER
457,ADULT DANCER/ENTERTAINER
458,ADULT DAY CARE CENTER
459,ADULT DAY CARE PROGRAM FOR THE INTELLECTUALLY DISABLED
460,ADULT DAY CENTER(DEV OF DISBL)
461,ADULT DAY PROGRAM
462,ADULT ENTERAIMENT
463,ADULT ENTERAINER
464,ADULT ENTERAINMENT
465,ADULT ENTERTAINER
466,ADULT ENTERTAINER CLUB FANTASY
467,ADULT ENTERTAINER( CLUB FANTASY)
468,ADULT ENTERTAINMENT
469,ADULT ENTERTAINMENT FACILITY
470,ADULT ENTERTAINTER
471,ADULT ENTERTANMENT
472,ADULT NOVELTY DISTRIBUTION
473,ADULT NOVETIES DISTRIBUTOR
474,ADULT PERFORMER
475,ADULT PSYCHIATRY
476,ADULT RESID TREATMENT PROGRAM
477,ADULT RESIDENTIAL
478,ADULT RESIDENTIAL CARE
479,ADULT RESIDENTIAL CARE HOME
480,ADULT RESIDENTIAL FACILITY
481,ADULT RESIDENTIAL TREATMENT
482,ADULT RETAIL
483,ADULT ROOM & BOARD
484,ADULT ROOM AND BOARD
485,ADULT TEACHER TRAINING - SACTO
486,ADULT TECH
487,ADULT WEB SITE(S)
488,ADULT WEBSITE
489,ADULT/YOUTH SOFTBALL SRV
490,ADV SPEC/SRVCS/TALENT AGENCY
491,Advanced Coach Training
492,ADVANCED EDUCATION (TEACHING HAIR DRESSING)
493,ADVANCED MATERIALS HANDLING
494,ADVANCED RESEARCH & DEVELOPMEN
495,ADVANCED TECHNOLOGY
496,ADVENTURE COMPANY
497,ADVENTURE TRAVEL SERV. & GUIDI
498,ADVERNTURE TRAVEL
499,ADVERTISE & PROMOTE CASINO TOU
500,ADVERTISE/MARKET FOR NEWSPAPER
501,ADVERTISEMENT DIRECTORY
502,ADVERTISEMENT FOR SMALL BUSINE
503,"ADVERTISEMENT, MEDIA PLANNING, PROMOTIONS"
504,ADVERTISEMENTS
505,ADVERTISING
506,ADVERTISING  CONSULTING FIRM
507,ADVERTISING / MARKETING
508,ADVERTISING / PR
509,ADVERTISING & DESIGN
510,ADVERTISING & EVENT SPACE RENTAL
511,ADVERTISING & GRAPHIC DESIGN
512,ADVERTISING & MARKETING
513,ADVERTISING & MEDIA PLANNER & BUYER
514,ADVERTISING & PROMOTION SERVICE
515,ADVERTISING & PROMOTIONS
516,ADVERTISING & PUBLIC AFFAIRS
517,ADVERTISING & PUBLIC RELATIONS
518,ADVERTISING AGENCY
519,ADVERTISING AND GRAPHIC DESIGN SERVICES
520,ADVERTISING AND MARKETING
521,ADVERTISING AND MARKETING AGENCY
522,ADVERTISING AND PR
523,ADVERTISING AND PROMOTIONS
524,ADVERTISING AND VIDEO PRODUCTION
525,ADVERTISING BROKER
526,ADVERTISING CONSULTANT
527,ADVERTISING COPYWRITING
528,ADVERTISING DELIVERY
529,ADVERTISING DESIGN
530,ADVERTISING DESIGN PHOTO
531,ADVERTISING FOR COMPANIES & BUSINESSES
532,Advertising for new home builders
533,ADVERTISING GRAPHIC DESIGN
534,ADVERTISING GRAPHICS
535,ADVERTISING MAGAZINE
536,ADVERTISING MEDIA
537,ADVERTISING MEDIA CONSULTING
538,ADVERTISING PHOTOGRAPHY
539,ADVERTISING REPRESENTATIVES
540,ADVERTISING SALE & CONSULTING
541,ADVERTISING SALES
542,ADVERTISING SALES OFFICE
543,ADVERTISING SALES SEMINARS
544,ADVERTISING SER
545,ADVERTISING SERVICE
546,ADVERTISING SERVICES
547,ADVERTISING SERVICES (ADMIN)
548,ADVERTISING SPECIALITES DIST.
549,ADVERTISING SPECIALTIES
550,"ADVERTISING SPECIALTIES SALES, MARKETING SERVICE"
551,ADVERTISING SPECIALTIES/DISTRB
552,ADVERTISING SPECIALTY & PRINTI
553,ADVERTISING SPECIALTY SALES
554,"ADVERTISING, MAIL ORDER"
555,"ADVERTISING, MARKETING & PR"
556,"ADVERTISING, PHOTOGRAPHY"
557,"ADVERTISING,PR,EVENT SERVICES"
558,ADVERTISING: CABLE SERVICES
559,ADVERTISING/ GENERAL OFFICE
560,ADVERTISING/COMPUTER SFTWR SLS
561,ADVERTISING/CONSULTING
562,ADVERTISING/GRAPHIC DESIGN
563,ADVERTISING/GRAPHIC DESIGN CON
564,ADVERTISING/MARKETING
565,ADVERTISING/MARKETING AGENCY
566,ADVERTISING/MARKETING WRITING
567,ADVERTISING/MARKETING/PROMOS
568,ADVERTISING/MKTING/PUBLIC REL.
569,ADVERTISING/PHOTOGRAPHY
570,ADVERTISING/PROMOTIONS
571,ADVERTISING/PUBLIC RELATIONS
572,ADVERTISING/SELL GPS VIA I/NET
573,ADVERTISING/SOCIAL MARKETING
574,ADVISOR
575,ADVISORY & CONSULTING
576,ADVISORY CONSULTANT
577,ADVOCACY
578,ADVOCACY & CONSULTING
579,ADVOCACY FIRM
580,ADVOCACY SVC RESALE CONSULTING
581,ADVOCATION
582,ADVRTSG/MRKTG/PBLC RELATIONS
583,AERATION/LAWN SERVICES
584,AERIAL MAPPING
585,AERIAL PHOTOGRAPHER
586,AERIAL PHOTOGRAPHY
587,AERIAL PHOTOGRAPHY & VIDEO
588,AERIAL VIDEO PHOTOGRAPHY
589,AEROBICS CLASS
590,AESTHECIAN
591,"AESTHETIC, SKIN CARE"
592,AESTHETIC'S / SALON
593,AESTHETICIAN
594,AESTHETICIAN & NAIL TECH
595,AESTHETICIAN/MAKEUP ARTIST
596,AESTHETICS
597,AESTHETICS & COSMETICS
598,AESTHETICS FACIALS WAXING MEDICAL WEIGHT MANAGEMENT
599,AESTHETICS IN SPA
600,AESTHETICS/MASSAGE
601,AESTHETICS/PERSONAL STYLIST
602,AFATARLY'S DELIVERY SERVICES
603,AFFAIR EVENT COORDINATOR
604,AFFILIATE MARKETING
605,AFFILIATE MARKETING ON-LINE RETAIL
606,AFFILIATE MARKETING/ONLINE ADVERTISING
607,AFFILIATED NON EMERGENCY TRANSPORTATION
608,AFFORDABLE HOUSEING REVOVATIONS
609,AFFORDABLE HOUSING  CONSULTANT
610,AFFORDABLE HOUSING CONSULT/TENANT FILE AUDITS
611,AFFORDABLE HOUSING SERVICES
612,AFRICAAN DRUM/PERCUSSION CLASS
613,AFRICAN AMERICAN ARTWORKS
614,AFRICAN ART/PRINTS/MEMORABILIA
615,African Attire
616,AFRICAN CLOTHES ARTIFACTS
617,"AFRICAN DANCE/DRUMS/DRAMA, ETC"
618,AFRICAN DRUM BODIAN
619,"AFRICAN FABRICS,SHOE & ACCESS"
620,AFRICAN HEALING
621,AFRICAN MUSEUM PRGRM/CHILDREN
622,"AFRICAN PRINTS, HATS & ACCESS"
623,AFRICAN PROFESSIONAL HAIR BRAIDS AND WEAVES
624,AFTER HOURS CLINIC FOR CHILDRE
625,AFTER HOURS CLINIC FOR CHILDREN
626,AFTER MARKET AUTO PARTS
627,AFTER MRKT JET SKI PART SALES
628,AFTER SCHOOL CHORAL PROGRAM
629,AFTER SCHOOL COACH / AFTER SCHOOL PROGRAM
630,AFTER SCHOOL DANCE
631,AFTER SCHOOL ENGINEERING CLASSES
632,AFTER SCHOOL ENRICHMENT PROGRAM
633,AFTER SCHOOL PROG CONSULTING
634,after school program
635,AFTER SCHOOL PROGRAM
636,AFTER SCHOOL PROGRAM @ SCHOOLS
637,AFTER SCHOOL PROGRAM CRAFTS INSCTRUCTOR
638,AFTER SCHOOL PROGRAM TUTORING
639,AFTER SCHOOL PROGRAMS
640,AFTER SCHOOL SCIENCE ENRICHMENT PROGRAM
641,AFTER SCHOOL SPEECH AND DEBATE CLASS
642,AFTER SCHOOL TECHNOLOGY CLASS
643,AFTER SCHOOL THEATRE
644,AFTERMARKET AUTO ACCESSORIES
645,AFTERMARKET AUTO PARTS
646,AFTERMARKET AUTO PARTS RETAIL
647,AFTERMARKET NEW AUTO PARTS SELLER
648,AFTERSCHOOL ARTS AND CRAFTS ENRICHMENT FOR GRADES 4-6
649,AFTERSCHOOL LEARNING CENTER
650,AFTERSCHOOL PROGRAM FOR YOUTH
651,AFTERSCHOOL THEATER WORKSHOP FOR CHILDREN AGES 6-14
652,AG PRODUCTS
653,"AG. TRACTOR DLR, PARTS, REPAIR"
654,AGENCY FOR HOME HEALTHCARE
655,"AGENCY TO IMPROVE, CREATE OR MARKET PRODUCTS GOOD FOR COMM."
656,AGENT
657,AGENT FOR MASSAGE THERAPISTS
658,AGENT FOR SAREES /DRESS
659,AGENT/BROKER VEHICLE SALES
660,AGENT/LOAN OFFCR FOR RON ALLEN
661,AGGREGATE HAULING
662,AGGREGATE TRANSPORT
663,AGRICULTURAL AND GARDEN SUPPLIES
664,AGRICULTURAL CONSULTING
665,"AGRICULTURAL CONSULTING, MANAGEMENT"
666,AGRICULTURAL CONSULTING/LIVE PLANTS
667,AGRICULTURE
